model,part_id,part_code,description,section,key,page
C12000,PS001,A50UM51000,Photointerrupter,External Parts,9,4
C12000,PS002,AC0C115400,Sensor Coil Spring /R,External Parts,23,4
C12000,PS003,A85CM55600,Photo Sensor,Intermediate Transfer Section,17,50
C12000,PS004,AC0C507700,Sensor Plate /Rear,Intermediate Transfer Section,26,50
C12000,PS006,AC0CM50200,Photointerrupter /S,Adu Duplex Section ADU,13,140
C12000,PS007,13QA85521,Sensor /2,Adu Carriage ADU,1,114
C12000,PS009,A85CM55600,Photo Sensor,Adu Duplex Section ADU,18,121
C12000,PS010,A85CM55600,Photo Sensor,Adu Duplex Section ADU,12,135
C12000,PS011,13QA85511,Conveyance Photo Sensor,Adu Carriage ADU,2,115
C12000,PS015,13QA85511,Conveyance Photo Sensor,Adu Duplex Section ADU,1,137
C12000,PS016,13QA85511,Conveyance Photo Sensor,Adu Duplex Section ADU,1,137
C12000,PS017,13QA85511,Conveyance Photo Sensor,Adu Duplex Section ADU,2,135
C12000,PS018,A85CM55600,Photo Sensor,Toner Collection Section,4,45
C12000,PS020,AC0CR77700,Compensating Sensor Assy,Adu Resist Section ADU,15,150
C12000,PS021,A85CM55600,Photo Sensor,Developing Section,4,28
C12000,PS022,A85CM55600,Photo Sensor,Developing Section,4,28
C12000,PS023,A85CM55600,Photo Sensor,Developing Section,4,29
C12000,PS024,A85CM55600,Photo Sensor,Developing Section,4,29
C12000,PS025,A85CM55600,Photo Sensor,Developing Section,4,30
C12000,PS026,A85CM55600,Photo Sensor,Developing Section,4,30
C12000,PS027,A85CM55600,Photo Sensor,Developing Section,4,31
C12000,PS028,A85CM55600,Photo Sensor,Developing Section,4,31
C12000,PS031,A50UM51000,Photointerrupter,External Parts,5,3
C12000,PS032,A85CM55600,Photo Sensor,Fusing Section,5,72
C12000,PS033,A85CM55600,Photo Sensor,Fusing Section,7,73
C12000,PS034,A85CM55600,Photo Sensor,Fusing Section,5,75
C12000,PS035,A85CM55600,Photo Sensor,Fusing Section,7,76
C12000,PS036,A85CM55600,Photo Sensor,Fusing Section,5,78
C12000,PS037,A85CM55600,Photo Sensor,Process Carriage Section,7,79
C12000,PS038,A85CM55600,Photo Sensor,Process Carriage Section,5,81
C12000,PS039,A85CM55600,Photo Sensor,Process Carriage Section,7,82
C12000,PS042,A50UM51000,Photointerrupter,Reverse And Exit Section,2,152
C12000,PS043,A85CM55600,Photo Sensor,Toner Collection Section,2,43
C12000,PS044,A85CM55600,Photo Sensor,Toner Collection Section,2,43
