Code,Classification,Cause,Measures to take when an alert occurs,Estimated abnormal parts,Correction,Note,Solution,Faulty part isolation DIPSW,Control during the detachment
C-05C9,PF-712 (3rd tandem): Vertical conveyance motor/4 ICP blowout abnormality,A correct signal cannot be detected for a specified period of time for the vertical conveyance motor/4 before the job starts when the main power becomes active.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Vertical conveyance motor/4 (M19),,"- The message """"Please call service"""" is displayed on the panel.","1. Confirm that the front door is closed. 2. Execute the IO Check (60-10) of the vertical conveyance motor/4 (PF 3rd tandem). 3. When the result of the IO Check in the step 2 is normal, M19 is not abnormal. Go on to the step 4 and later. 4. Check the connector connection of CN157 of PFUDB, CN958 of M19, and the wiring, and repair it when there is any abnormality. 5. Replace PFUDB. 6. Replace M19.",,
C-05CA,PF-712 (3rd tandem): Loop motor/Up ICP blowout abnormality,A correct signal cannot be detected for a specified period of time for the loop motor/Up before the job starts when the main power becomes active.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Loop motor/Up (M23),,"- The message """"Please call service"""" is displayed on the panel.","1. Confirm that the front door is closed. 2. Execute the IO Check (60-11) of the loop motor/Up (PF 3rd tandem). 3. When the result of the IO Check in the step 2 is normal, M23 is not abnormal. Go on to the step 4 and later. 4. Check the connector connection of CN156 of PFUDB, CN962 of M23, and the wiring, and repair it when there is any abnormality. 5. Replace PFUDB. 6. Replace M23.",,
C-05CB,PF-712 (3rd tandem): Loop motor/Lw ICP blowout abnormality,A correct signal cannot be detected for a specified period of time for the loop motor/Lw before the job starts when the main power becomes active.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Loop motor/Lw (M24),,"- The message """"Please call service"""" is displayed on the panel.","1. Confirm that the front door is closed. 2. Execute the IO Check (60-12) of the loop motor/Lw (PF 3rd tandem). 3. When the result of the IO Check in the step 2 is normal, M24 is not abnormal. Go on to the step 4 and later. 4. Check the connector connection of CN156 of PFUDB, CN963 of M24, CN974 of the relay wiring, and the wiring. Then, repair it when there is any abnormality. 5. Replace PFUDB. 6. Replace M24.",,
C-05CC,PF-712 (3rd tandem): Registration motor/Up ICP blowout abnormality,A correct signal cannot be detected for a specified period of time for the registration motor/Up before job starts when the main power becomes active.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Registration motor/Up (M21),,"- The message """"Please call service"""" is displayed on the panel.","1. Confirm that the front door is closed. 2. Execute the IO Check (60-13) of the registration motor/Up (PF 3rd tandem). 3. When the result of the IO Check in the step 2 is normal, M21 is not abnormal. Go on to the step 4 and later. 4. Check the connector connection of CN167 of PFUDB, CN960 of M21, and the wiring, and repair it when there is any abnormality. 5. Replace PFUDB. 6. Replace M21.",,
C-05CD,PF-712 (3rd tandem): Registration motor/Lw ICP blowout abnormality,A correct signal cannot be detected for a specified period of time for the registration motor/Lw before the job starts when the main power becomes active.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Registration motor/Lw (M22),,"- The message """"Please call service"""" is displayed on the panel.","1. Confirm that the front door is closed. 2. Execute the IO Check (60-14) of the registration motor/Lw (PF 3rd tandem). 3. When the result of the IO Check in the step 2 is normal, M22 is not abnormal. Go on to the step 4 and later. 4. Check the connector connection of CN167 of PFUDB, CN961 of M22, CN974 of the relay wiring, and the wiring. Then, repair it when there is any abnormality. 5. Replace PFUDB. 6. Replace M22.",,
C-05CE,PF-712 (3rd tandem): PFU exit motor ICP blowout abnormality,A correct signal cannot be detected for a specified period of time for the PFU exit motor before the job starts when the main power becomes active.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • PFU exit motor (M26),,"- The message """"Please call service"""" is displayed on the panel.","1. Confirm that the front door is closed. 2. Execute the IO Check (60-06) of the PFU exit motor (PF 3rd tandem). 3. When the result of the IO Check in the step 2 is normal, M26 is not abnormal. Go on to the step 4 and later. 4. Check the connector connection of CN158 of PFUDB, CN965 of M26, and the wiring, and repair it when there is any abnormality. 5. Replace PFUDB. 6. Replace M26.",,
C-05CF,PF-712 (3rd tandem): Roller pressure release motor ICP blowout abnormality,A roller pressure release motor ICP blowout signal is detected for a specified period of time.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Roller pressure release motor (M10),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (63-32) of the PFU drive board (PFUDB) (ICP110). 2. When the result of the IO Check in the step 1 is normal, PFUDB is not abnormal. Go on to the step 4 and later. 3. Check the connector connection of CN160 of PFUDB, CN967 of M10, CN978 and CN979 of the relay wiring, and the wiring. Then, repair it when there is any abnormality. 4. Replace PFUDB. 5. Replace M10.",,
C-05D6,PF-712 (3rd tandem): HT relay ICP blowout abnormality,A correct signal cannot be detected for the HT-506 relay for a specified period of time.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • AC drive board (ACDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Check the connector connection of CN137 of PFUDB, CN654 of ACDB, CN652 of the relay wiring, and the wiring. Then, repair it when there is any abnormality. 2. Replace PFUDB. 3. Replace ACDB.",,
C-05E0,PF-712 (3rd tandem): Cooling fan/3 ICP blowout abnormality,A cooling fan/3 ICP blowout signal is detected for a specified period of time.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Cooling fan/3 (FM33),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (63-21) of the PFU drive board (PFUDB) (ICP30). 2. When the result of the IO Check in the step 1 is normal, PFUDB is not abnormal. Go on to the step 3 and later. 3. Check the connector connection of CN137 of PFUDB, CN222 of FM33, and the wiring, and repair it when there is any abnormality. 4. Replace PFUDB. 5. Replace FM33.",,
C-05E1,"PF-712 (3rd tandem): Paper leading edge separation fan/Fr1, /Rr1 (Upper tray) ICP blowout abnormality",A paper leading edge separation fan/Fr1 or /Rr1 (Upper tray) ICP blowout signal is detected for a specified period of time.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Paper leading edge separation fan/Fr1 (FM9) • Paper leading edge separation fan/Rr1 (FM10),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (63-26) of the PFU drive board (PFUDB) (ICP27). 2. When the result of the IO Check in the step 1 is normal, PFUDB is not abnormal. Go on to the step 3 and later. 3. Check the connector connection of CN112 of PFUDB, CN1031 of FM9, CN1030 of FM10, and the wiring, and repair it when there is any abnormality. 4. Replace PFUDB. 5. Replace FM9. 6. Replace FM10.",,
C-05E2,"PF-712 (3rd tandem): Paper leading edge separation fan/Fr2, /Rr2 (Middle tray) ICP blowout abnormality",A paper leading edge separation fan/Fr2 or /Rr2 (Middle tray) ICP blowout signal is detected for a specified period of time.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Paper leading edge separation fan/Fr2 (FM13) • Paper leading edge separation fan/Rr2 (FM14),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (63-27) of the PFU drive board (PFUDB) (ICP28). 2. When the result of the IO Check in the step 1 is normal, PFUDB is not abnormal. Go on to the step 3 and later. 3. Check the connector connection of CN115 of PFUDB, CN1031_2 of M13, CN1030_2 of M14, and the wiring, and repair it when there is any abnormality. 4. Replace PFUDB. 5. Replace M13. 6. Replace M14.",,
C-05E3,"PF-712 (3rd tandem): Paper leading edge separation fan/Fr3, /Rr3 (Lower tray) ICP blowout abnormality",A paper leading edge separation fan/Fr3 or /Rr3 (Lower tray) ICP blowout signal is detected for a specified period of time.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Paper leading edge separation fan/Fr3 (FM17) • Paper leading edge separation fan/Rr3 (FM18),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (63-28) of the PFU drive board (PFUDB) (ICP29). 2. When the result of the IO Check in the step 1 is normal, PFUDB is not abnormal. Go on to the step 3 and later. 3. Check the connector connection of CN116 of PFUDB, CN1231 of M17, CN1230 of M18, and the wiring, and repair it when there is any abnormality. 4. Replace PFUDB. 5. Replace M17. 6. Replace M18.",,
C-05E4,"PF-712 (3rd tandem): Tray lock solenoid/1, /2, /3 ICP blowout abnormality","A tray lock solenoid/1, /2, or /3 ICP blowout signal is detected for a specified period of time.",when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Tray lock solenoid/1 (SD1) • Tray lock solenoid/2 (SD2) • Tray lock solenoid/3 (SD3),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (63-20) of the PFU drive board (PFUDB) (ICP10). 2. When the result of the IO Check in the step 1 is normal, PFUDB is not abnormal. Go on to the step 3 and later. 3. Check the connector connection of CN145 of PFUDB, CN224 of SD1, CN225 of SD2, CN226 of SD3, CN238 of the relay wiring, and the wiring. Then, repair it when there is any abnormality. 4. Replace PFUDB. 5. Replace SD1. 6. Replace SD2. 7. Replace SD3.",,
C-05E5,PF-712 (3rd tandem): Duct shutter motor (Middle tray) ICP blowout abnormality,A duct shutter motor (Middle tray) ICP blowout signal is detected for a specified period of time.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Shutter motor/Rr2 (M42) • Side shutter motor/2 (M45),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (63-29) of the PFU drive board (PFUDB) (ICP17). 2. When the result of the IO Check in the step 1 is normal, PFUDB is not abnormal. Go on to the step 3 and later. 3. Check the connector connection of CN140 of PFUDB, CN516 of M42, CN517 of M45, CN518 of the relay wiring, and the wiring. Then, repair it when there is any abnormality. 4. Replace PFUDB. 5. Replace M42. 6. Replace M45.",,
C-05E6,PF-712 (3rd tandem): Duct shutter motor (Lower tray) ICP blowout abnormality,A duct shutter motor (Lower tray) ICP blowout signal is detected for a specified period of time.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Shutter motor/Rr3 (M43) • Side shutter motor/3 (M46),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (63-30) of the PFU drive board (PFUDB) (ICP18). 2. When the result of the IO Check in the step 1 is normal, PFUDB is not abnormal. Go on to the step 3 and later. 3. Check the connector connection of CN123 of PFUDB, CN526 of M43, CN527 of M46, CN528 of the relay wiring, and the wiring. Then, repair it when there is any abnormality. 4. Replace PFUDB. 5. Replace M43. 6. Replace M46.",,
C-05E7,"PF-712 (3rd tandem): Dehumidifier fan/Rt1, /Lt1 (Upper tray) ICP blowout abnormality",A dehumidifier fan/Rt1 or /Lt1 (Upper tray) ICP blowout signal is detected for a specified period of time.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Dehumidifier fan/Rt1 (FM21) • Dehumidifier fan/Lt1 (FM22),,"- The message """"Please call service"""" is displayed on the panel.","1. Check the connection of the HT-506. 2. Execute the IO Check (63-23) of the PFU drive board (PFUDB) (ICP32). 3. When the result of the IO Check in the step 2 is normal, PFUDB is not abnormal. Go on to the step 4 and later. 4. Check the connector connection of CN136 of PFUDB, CN822 of FM21, CN823 of FM22, CN821 of the relay wiring, and the wiring. Then, repair it when there is any abnormality. 5. Replace PFUDB. 6. Replace FM21. 7. Replace FM22.",,
C-05E8,"PF-712 (3rd tandem): Dehumidifier fan/Rt2, /Lt2 (Middle tray) ICP blowout abnormality",A dehumidifier fan/Rt2 or /Lt2 (Middle tray) ICP blowout signal is detected for a specified period of time.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Dehumidifier fan/Rt2 (FM23) • Dehumidifier fan/Lt2 (FM24),,"- The message """"Please call service"""" is displayed on the panel.","1. Check the connection of the HT-506. 2. Execute the IO Check (63-24) of the PFU drive board (PFUDB) (ICP33). 3. When the result of the IO Check in the step 2 is normal, PFUDB is not abnormal. Go on to the step 4 and later. 4. Check the connector connection of CN136 of PFUDB, CN832 of FM23, CN833 of FM24, CN831 of the relay wiring, and the wiring. Then, repair it when there is any abnormality. 5. Replace PFUDB. 6. Replace FM23. 7. Replace FM24.",,
C-05E9,"PF-712 (3rd tandem): Dehumidifier fan/Rt3, /Lt3 (Lower tray) ICP blowout abnormality",A dehumidifier fan/Rt3 or /Lt3 (Lower tray) ICP blowout signal is detected for a specified period of time.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Dehumidifier fan/Rt2 (FM25) • Dehumidifier fan/Lt2 (FM26),,"- The message """"Please call service"""" is displayed on the panel.","1. Check the connection of the HT-506. 2. Execute the IO Check (63-25) of the PFU drive board (PFUDB) (ICP34). 3. When the result of the IO Check in the step 2 is normal, PFUDB is not abnormal. Go on to the step 4 and later. 4. Check the connector connection of CN138 of PFUDB, CN842 of FM25, CN843 of FM26, CN841 of the relay wiring, and the wiring. Then, repair it when there is any abnormality. 5. Replace PFUDB. 6. Replace FM25. 7. Replace FM26.",,
C-05EA,PF-712 (3rd tandem): Temperature sensor/1 (Upper tray) connector disconnection,It is detected that the AD value of the temperature sensor/1 (Upper tray) is equal to or below the specified temperature continuously for the specified period of time.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Temperature sensor/1 (TH1),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (61-33) of the temperature sensor/1 (Upper tray) (PF 3rd tandem). 2. When the result of the IO Check in the step 1 is normal, TH1 is not abnormal. Go on to the step 3 and later. 3. Check the connector connection of CN112 of PFUDB, CN1010 of TH1, CN1098 of the relay wiring, and the wiring. Then, repair it when there is any abnormality. 4. Replace PFUDB. 5. Replace TH1.",,
C-05EB,PF-712 (3rd tandem): Temperature sensor/2 (Middle tray) connector disconnection,It is detected that the AD value of the temperature sensor/2 (Middle tray) is equal to or below the specified temperature continuously for the specified period of time.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Temperature sensor/2 (TH2),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (61-34) of the temperature sensor/2 (Middle tray) (PF 3rd tandem). 2. When the result of the IO Check in the step 1 is normal, TH2 is not abnormal. Go on to the step 3 and later. 3. Check the connector connection of CN114 of PFUDB, CN1110 of TH2, CN1198 of the relay wiring, and the wiring. Then, repair it when there is any abnormality. 4. Replace PFUDB. 5. Replace TH1.",,
C-05EC,PF-712 (3rd tandem): Temperature sensor/3 (Lower tray) connector disconnection,It is detected that the AD value of the temperature sensor/3 (Lower tray) is equal to or below the specified temperature continuously for the specified period of time.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Temperature sensor/3 (TH3),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (61-35) of the temperature sensor/3 (Lower tray) (PF 3rd tandem). 2. When the result of the IO Check in the step 1 is normal, TH3 is not abnormal. Go on to the step 3 and later. 3. Check the connector connection of CN116 of PFUDB, CN1210 of TH3, CN1298 of the relay wiring, and the wiring. Then, repair it when there is any abnormality. 4. Replace PFUDB. 5. Replace TH3.",,
C-05ED,PF-712 (3rd tandem): Temperature sensor/4 (Upper tray) connector disconnection,It is detected that the AD value of the temperature sensor/4 (Upper tray) is equal to or below the specified temperature continuously for the specified period of time.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Temperature sensor/4 (TH4),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (61-30) of the temperature sensor/4 (HT-506) (Upper tray) (PF 3rd tandem). 2. When the result of the IO Check in the step 1 is normal, TH4 is not abnormal. Go on to the step 3 and later. 3. Check the connector connection of CN136 of PFUDB, CN824 of TH4, CN821 of the relay wiring, and the wiring. Then, repair it when there is any abnormality. 4. Replace PFUDB. 5. Replace TH4.",,
C-05EE,PF-712 (3rd tandem): Temperature sensor/5 (Middle tray) connector disconnection,It is detected that the AD value of the temperature sensor/5 (Middle tray) is equal to or below the specified temperature continuously for the specified period of time.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Temperature sensor/5 (TH5),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (61-31) of the temperature sensor/5 (HT-506) (Middle tray) (PF 3rd tandem). 2. When the result of the IO Check in the step 1 is normal, TH5 is not abnormal. Go on to the step 3 and later. 3. Check the connector connection of CN136 of PFUDB, CN834 of TH5, CN831 of the relay wiring, and the wiring. Then, repair it when there is any abnormality. 4. Replace PFUDB. 5. Replace TH5.",,
C-05EF,PF-712 (3rd tandem): Temperature sensor/6 (Lower tray) connector disconnection,It is detected that the AD value of the temperature sensor/6 (Lower tray) is equal to or below the specified temperature continuously for the specified period of time.,when alert occurs The main body and the option stop immediately.,• PFU drive board (PFUDB) • Temperature sensor/6 (TH6),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (61-32) of the temperature sensor/6 (HT-506) (Lower tray) (PF 3rd tandem). 2. When the result of the IO Check in the step 1 is normal, TH6 is not abnormal. Go on to the step 3 and later. 3. Check the connector connection of CN138 of PFUDB, CN844 of TH6, CN841 of the relay wiring, and the wiring. Then, repair it when there is any abnormality. 4. Replace PFUDB. 5. Replace TH6.",,
C-0600,LU-208/LU-208XL: 5 VS power supply abnormality,An ICP blowout signal of 5 VS is detected for a specified period of time.,when an alert occurs The main body and the option stop immediately.,• LU drive board (LUDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (64-63) of the LU drive board (LUDB) (CPU abnormality judgment). 2. When the result of the IO Check in the step 1 is normal, the CPU of LUDB is not abnormal. For details of IO check results, refer to """"Table 1: Result check."""" 3. Replace LUDB. Table 1: Result check Result check Normal Abnormal START Not care Not care STOP 0 1",Control while detached,
C-0601,LU-208/LU-208XL: 3.3 VS power source abnormality,An ICP blowout signal of 3.3 VS is detected for a specified period of time.,when an alert occurs The main body and the option stop immediately.,• LU drive board (LUDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (64-64) of the LU drive board (LUDB). 2. When the result of the IO Check in the step 1 is normal, 3.3 V of LUDB is not abnormal. For details of IO check results, refer to """"Table 1: Result check."""" 3. Replace LUDB. Table 1: Result check Result check Normal Abnormal START Not care Not care STOP 0 1",Control while detached,
C-0602,LU-208/LU-208XL: Abnormality in -12 VS power source for the multi feed detection board,An ICP blowout signal of the multi feed detection board/R (MFDBR) or /S (MFDBS) is detected for a specified period of time.,when an alert occurs The main body and the option stop immediately.,• Multi feed detection board/R (MFDBR) • Multi feed detection board/S (MFDBS) • LU drive board (LUDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (64-67) of the LU drive board (LUDB) (ICP6). 2. When the result of the IO Check in the step 1 is normal, LUDB is not abnormal. For details of IO check results, refer to """"Table 1: Result check."""" 3. Replace MFDBR. 4. Replace MFDBS. 5. Replace LUDB. Table 1: Result check Result check Normal Abnormal START Not care Not care STOP 0 1",Control while detached,
C-0603,LU-208/LU-208XL: Abnormality in +12 VS power source for the multi feed detection board,An ICP blowout signal of the multi feed detection board/R (MFDBR) or /S (MFDBS) is detected for a specified period of time.,when an alert occurs The main body and the option stop immediately.,• Multi feed detection board/R (MFDBR) • Multi feed detection board/S (MFDBS) • LU drive board (LUDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (64-68) of the LU drive board (LUDB) (ICP7). 2. When the result of the IO Check in the step 1 is normal, LUDB is not abnormal. For details of IO check results, refer to """"Table 1: Result check."""" 3. Replace MFDBR. 4. Replace MFDBS. 5. Replace LUDB. Table 1: Result check Result check Normal Abnormal START Not care Not care STOP 0 1",Control while detached,
C-0604,LU-208/LU-208XL: 24 V1 power supply abnormality,A 24 V1 error signal is detected for a specified period of time.,when an alert occurs The main body and the option stop immediately.,• LU drive board (LUDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (64-86) of the LU drive board (LUDB). 2. When the result of the IO Check in the step 1 is normal, LUDB is not abnormal. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check the connector connection between LUDB and the main body, CN100 of LUDB, and the wiring. Then repair it when there is any abnormality. 4. Replace LUDB. Table 1: Result check Result check Normal Abnormal START Not care Not care STOP 0 1",Control while detached,
C-0610,"LU-208/LU-208XL: Paper feed assist fan/Fr, /Rr ICP blowout abnormality",An ICP blowout signal of the paper feed assist fan/Fr (FM1) or /Rr (FM2) is detected for a specified period of time.,when an alert occurs The main body and the option stop immediately.,• Paper feed assist fan/Fr (FM1) • Paper feed assist fan/Rr (FM2) • LU drive board (LUDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (64-69) of the LU drive board (LUDB) (ICP1). 2. When the result of the IO Check in the step 1 is normal, LUDB is not abnormal. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check the connector connection between LUDB and FM1, CN803 of LUDB, CN702 (relay connector), CN703 (relay connector), CN812 of FM1, and the wiring. Then repair it when there is any abnormality. 4. Check the connector connection between LUDB and FM2, CN5 of LUDB, CN837 (relay connector), CN704 (relay connector), CN813 of FM2, and the wiring. Then repair it when there is any abnormality. 5. Replace FM1. 6. Replace FM2. 7. Replace LUDB. Table 1: Result check Result check Normal Abnormal START Not care Not care STOP 0 1",Control while detached,
C-0611,"LU-208XL: Banner paper feed assist fan/Fr, /Rr ICP blowout abnormality",An ICP blowout signal of the banner paper feed assist fan/Fr (FM3) or /Rr (FM4) is detected for a specified period of time.,when an alert occurs The main body and the option stop immediately.,• Banner paper feed assist fan/Fr (FM3) • Banner paper feed assist fan/Rr (FM4) • LU drive board (LUDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (64-70) of the LU drive board (LUDB) (ICP2). 2. When the result of the IO Check in the step 1 is normal, LUDB is not abnormal. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check the connector connection between LUDB and FM3, CN803 of LUDB, CN855 (relay connector), CN856 (relay connector), CN857 (relay connector), CN744 of FM3, and the wiring. Then repair it when there is any abnormality. 4. Check the connector connection between LUDB and FM4, CN5 of LUDB, CN863 (relay connector), CN862 of FM4, and the wiring. Then repair it when there is any abnormality. 5. Replace FM3. 6. Replace FM4. 7. Replace LUDB. Table 1: Result check Result check Normal Abnormal START Not care Not care STOP 0 1",Control while detached,
C-0612,LU-208/LU-208XL: Clutch and solenoid ICP blowout abnormality,"An ICP blowout signal of the paper feed clutch (CL101), the pre-registration clutch (CL102), the separation clutch (CL103), or the pick-up solenoid (SD100) is detected for a specified period of time.",when an alert occurs The main body and the option stop immediately.,• Paper feed clutch (CL101) • Pre-registration clutch (CL102) • Separation clutch (CL103) • Pick-up solenoid (SD100) • LU drive board (LUDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (64-66) of the LU drive board (LUDB) (ICP4). 2. When the result of the IO Check in the step 1 is normal, LUDB is not abnormal. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check the connector connection between LUDB and CL101, CN804 of LUDB, CN826 of CL101, and the wiring. Then repair it when there is any abnormality. 4. Check the connector connection between LUDB and CL102, CN830 of CL102, and the wiring. Then repair it when there is any abnormality. 5. Check the connector connection between LUDB and CL103, CN301 of CL103, and the wiring. Then repair it when there is any abnormality. 6. Check the connector connection between LUDB and SD100, CN841 (relay connector), CN829 of the SD100, and the wiring. Then repair it when there is any abnormality. 7. Replace CL101. 8. Replace CL102. 9. Replace CL103. 10. Replace SD100. 11. Replace LUDB. Table 1: Result check Result check Normal Abnormal START Not care Not care STOP 0 1",Control while detached,
C-0613,"LU-208/LU-208XL: Dehumidifier fan/1, /2 ICP blowout abnormality",An ICP blowout signal of the dehumidifier fan/1 (FM101) or the dehumidifier fan/2 (FM102) is detected for a specified period of time.,when an alert occurs The main body and the option stop immediately.,• Dehumidifier fan/1 (FM101) • Dehumidifier fan/2 (FM102) • LU drive board (LUDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (64-71) of the LU drive board (LUDB) (ICP3). 2. When the result of the IO Check in the step 1 is normal, LUDB is not abnormal. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check the connector connection between LUDB and FM101, CN835 of LUDB, CN938 (relay connector), CN842 of FM101, and the wiring. Then repair it when there is any abnormality. 4. Check the connector connection between LUDB and FM102, CN843 of FM102, and the wiring. Then repair it when there is any abnormality. 5. Replace FM101. 6. Replace FM102. 7. Replace LUDB. Table 1: Result check Result check Normal Abnormal START Not care Not care STOP 0 1",Control while detached,
C-0614,LU-208/LU-208XL: HT relay ICP blowout abnormality,An ICP blowout signal of the HT relay is detected for a specified period of time.,when an alert occurs The main body and the option stop immediately.,• AC drive board (ACDB) • LU drive board (LUDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (64-72) of the LU drive board (LUDB) (ICP5). 2. When the result of the IO Check in the step 1 is normal, LUDB is not abnormal. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check the connector connection between LUDB and ACDB, CN806 of LUDB, CN973 (relay connector), CN963 of ACDB, and the wiring. Then repair it when there is any abnormality. 4. Replace ACDB. 5. Replace LUDB. Table 1: Result check Result check Normal Abnormal START Not care Not care STOP 0 1",Control while detached,
C-0615,LU-208: Paper feed motor ICP blowout abnormality,An ICP blowout signal of the paper feed motor (M1) is detected for a specified period of time.,when an alert occurs The main body and the option stop immediately.,• Paper feed motor (M1) • LU drive board (LUDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (64-65) of the LU drive board (LUDB) (ICP8, ICP9). 2. When the result of the IO Check in the step 1 is normal, LUDB is not abnormal. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check the connector connection between LUDB and the interlock switch/1 (MS1), CN805 of LUDB, CN816 (relay connector), FT01 and FT02 of MS1, and the wiring. Then repair it when there is any abnormality. 4. Check the connector connection between LUDB and the interlock switch/2 (MS2), CN817 (relay connector), FT03 and FT04 of MS2, and the wiring. Then repair it when there is any abnormality. 5. Check the connector connection between LUDB and M1, CN815 of M1, and the wiring. Then repair it when there is any abnormality. 6. Replace M1. 7. Replace LUDB. Table 1: Result check Result check Normal Abnormal START Not care Not care STOP 0 1",Control while detached,
C-0615,LU-208XL: Paper feed motor ICP blowout abnormality,An ICP blowout signal of the paper feed motor (M1) is detected for a specified period of time.,when an alert occurs The main body and the option stop immediately.,• Paper feed motor (M1) • LU drive board (LUDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (64-65) of the LU drive board (LUDB) (ICP8, ICP9). 2. When the result of the IO Check in the step 1 is normal, LUDB is not abnormal. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check the connector connection between LUDB and the interlock switch/1 (MS1), CN805 of LUDB, CN816 (relay connector), FT01 and FT02 of MS1, and the wiring. Then repair it when there is any abnormality. 4. Check the connector connection between LUDB and the interlock switch/2 (MS2), CN817 (relay connector), FT03 and FT04 of MS2, and the wiring. Then repair it when there is any abnormality. 5. Check the connector connection between LUDB and the interlock switch/3 (MS3), CN771 (relay connector), FT05 and FT06 of MS3, and the wiring. Then repair it when there is any abnormality. 6. Check the connector connection between LUDB and M1, CN815 of M1, and the wiring. Then repair it when there is any abnormality. 7. Replace M1. 8. Replace LUDB. Table 1: Result check Result check Normal Abnormal START Not care Not care STOP 0 1",Control while detached,
C-0616,LU-208/LU-208XL: Paper lift motor ICP cut out abnormality,An ICP blowout signal of the paper lift motor (M100) is detected for a specified period of time.,when an alert occurs The main body and the option stop immediately.,• Paper lift motor (M100) • LU drive board (LUDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Execute the IO Check (64-73) of the LU drive board (LUDB) (ICP10). 2. When the result of the IO Check in the step 1 is normal, LUDB is not abnormal. For details of IO check results, refer to """"Table 1: Result check."""" 3. Check the connector connection between LUDB and M100, CN2 of LUDB, CN814 of M100, and the wiring. Then repair it when there is any abnormality. 4. Replace M100. 5. Replace LUDB. Table 1: Result check Result check Normal Abnormal START Not care Not care STOP 0 1",Control while detached,
