Code,Classification,Cause,Measures to take when an alert occurs,Estimated abnormal parts,Correction,Note,Solution,Faulty part isolation DIPSW,Control during the detachment
C-0175,Main body: Conveyance roller pressure release motor/1 drive circuit abnormality,An error detection signal is detected continuously for a specified period of time since the conveyance roller pressure release motor/1 (M35) starts the initial operation.,when an alert occurs The main body and the option stop immediately.,• Conveyance roller pressure release motor/1 (M35) • Conveyance expansion board/3 (EXCDB/3) • Conveyance drive board (CDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Prior check • Close the front door properly. (Check with the IO Check (25-20) of the front door sensor (PS31).) 2. Execute the IO Check (18-54) of the conveyance roller pressure release motor/1 (M35) (Forward). 3. Execute the IO Check (18-55) of the conveyance roller pressure release motor/1 (M35) (Reverse). 4. When the results of the IO Check in the step 2 and the step 3 are normal, M35 is not abnormal. Go on to the step 7. For details of IO check results, refer to """"Table 1: Result check."""" 5. Check the connector connection between EXCDB/3 and M35, CN4 of EXCDB/3, CN251 of M35, and the wiring. Then, repair it when there is any abnormality. 6. Check the connector connection between CDB and EXCDB/3, CN182 and CN183 of CDB, CN2 and CN3 of EXCDB/3, and the wiring. Then, repair it when there is any abnormality. 7. Check the coupling of the gear of M35. Then repair it when there is any abnormality. 8. Replace M35. 9. Replace EXCDB/3. 10. Replace CDB. Table 1: Result check Result check Normal Abnormal START Change 1→0 1 STOP Not care Not care",Control while detached,
C-0176,Main body: Conveyance roller pressure release motor/2 drive circuit abnormality,An error detection signal is detected continuously for a specified period of time since the conveyance roller pressure release motor/2 (M36) starts the initial operation.,when an alert occurs The main body and the option stop immediately.,• Conveyance roller pressure release motor/2 (M36) • Conveyance expansion board/3 (EXCDB/3) • Conveyance drive board (CDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Prior check • Close the front door properly. (Check with the IO Check (25-20) of the front door sensor (PS31).) 2. Execute the IO Check (18-56) of the conveyance roller pressure release motor/2 (M36) (Forward). 3. Execute the IO Check (18-57) of the conveyance roller pressure release motor/2 (M36) (Reverse). 4. When the results of the IO Check in the step 2 and the step 3 are normal, M36 is not abnormal. Go on to the step 7. For details of IO check results, refer to """"Table 1: Result check."""" 5. Check the connector connection between EXCDB/3 and M36, CN4 of EXCDB/3, CN252 of M36, and the wiring. Then, repair it when there is any abnormality. 6. Check the connector connection between CDB and EXCDB/3, CN182 and CN183 of CDB, CN2 and CN3 of EXCDB/3, and the wiring. Then, repair it when there is any abnormality. 7. Check the coupling of the gear of M36. Then repair it when there is any abnormality. 8. Replace M36. 9. Replace EXCDB/3. 10. Replace CDB. Table 1: Result check Result check Normal Abnormal START Change 1→0 1 STOP Not care Not care",Control while detached,
C-0177,Main body: ADU pre-registration motor drive circuit abnormality,An error detection signal is detected continuously for a specified period of time since the ADU pre-registration motor (M62) starts the initial operation.,when an alert occurs The main body and the option stop immediately.,• ADU pre-registration motor (M62) • Conveyance expansion board/1 (EXCDB/1) • Conveyance drive board (CDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Prior check • Close the front door properly. (Check with the IO Check (25-20) of the front door sensor (PS31).) 2. Execute the IO Check (83-30) of the ADU pre-registration motor (M62) (201 mm/s). 3. When the result of the IO Check in the step 2 is normal, M62 is not abnormal. Go on to the step 6. For details of IO check results, refer to """"Table 1: Result check."""" 4. Check the connector connection between EXCDB/1 and M62, CN6 of EXCDB/1, CN459 of M62, and the wiring. Then, repair it when there is any abnormality. 5. Check the connector connection between CDB and EXCDB/1, CN166 and CN167 of CDB, CN2 and CN3 of EXCDB/1, and the wiring. Then, repair it when there is any abnormality. 6. Check the coupling of the gear of M62. Then repair it when there is any abnormality. 7. Replace M62. 8. Replace EXCDB/1. 9. Replace CDB. Table 1: Result check Result check Normal Abnormal START Change 1→0 1 STOP Not care Not care",Control while detached,
C-0180,Main body: Paper lift motor/BP drive circuit abnormality,An error detection signal is detected continuously for a specified period of time since the paper lift motor/BP (M49) starts the initial operation.,when an alert occurs The main body and the option stop immediately.,• Paper lift motor/BP (M49) • Printer control board (PRCB),,"- The message """"Please call service"""" is displayed on the panel.","1. Prior check • Close the front door properly. (Check with the IO Check (25-20) of the front door sensor (PS31).) 2. Execute the IO Check (19-02) of the paper lift motor/BP (M49) (Up). 3. Execute the IO Check (19-03) of the paper lift motor/BP (M49) (Down). 4. When the results of the IO Check in the step 2 and the step 3 are normal, M49 is not abnormal. Go on to the step 6. For details of IO check results, refer to """"Table 1: Result check."""" 5. Check the connector connection between PRCB and M49, CN128 of PRCB, CN359 (relay connector), CN360 (relay connector), CN417 of M49, and the wiring. Then, repair it when there is any abnormality. 6. Check the coupling of the gear of M49. Then repair it when there is any abnormality. 7. Replace M49. 8. Replace PRCB. Table 1: Result check Result check Normal Abnormal START The motor is working The motor is not working STOP Not care Not care",Control while detached,
C-0185,Main body: ADU roller pressure release motor drive circuit abnormality,An error detection signal is detected continuously for a specified period of time since the ADU roller pressure release motor (M33) starts the initial operation.,when an alert occurs The main body and the option stop immediately.,• ADU roller pressure release motor (M33) • Conveyance expansion board/3 (EXCDB/3) • Conveyance drive board (CDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Prior check • Close the front door properly. (Check with the IO Check (25-20) of the front door sensor (PS31).) 2. Execute the IO Check (18-66) of the ADU roller pressure release motor (M33) (Forward). 3. Execute the IO Check (18-67) of the ADU roller pressure release motor (M33) (Reverse). 4. When the results of the IO Check in the step 2 and the step 3 are normal, M33 is not abnormal. Go on to the step 7. For details of IO check results, refer to """"Table 1: Result check."""" 5. Check the connector connection between EXCDB/3 and M33, CN5 of EXCDB/3, CN254 of M33, and the wiring. Then, repair it when there is any abnormality. 6. Check the connector connection between CDB and EXCDB/3, CN182 and CN183 of CDB, CN2 and CN3 of EXCDB/3, and the wiring. Then, repair it when there is any abnormality. 7. Check the coupling of the gear of M33. Then repair it when there is any abnormality. 8. Replace M33. 9. Replace EXCDB/3. 10. Replace CDB. Table 1: Result check Result check Normal Abnormal START Change 1→0 1 STOP Not care Not care",Control while detached,
C-0186,Main body: ADU pre-registration roller pressure release motor drive circuit abnormality,An error detection signal is detected continuously for a specified period of time since the ADU pre-registration roller pressure release motor (M32) starts the initial operation.,when an alert occurs The main body and the option stop immediately.,• ADU pre-registration roller pressure release motor (M32) • Conveyance expansion board/2 (EXCDB/2) • Conveyance drive board (CDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Prior check • Close the front door properly. (Check with the IO Check (25-20) of the front door sensor (PS31).) 2. Execute the IO Check (18-39) of the ADU pre-registration roller pressure release motor (M32) (Home position search). 3. Execute the IO Check (18-32) of the ADU pre-registration roller pressure release motor (M32) (Stops at the pressure position). 4. Execute the IO Check (18-33) of the ADU pre-registration roller pressure release motor (M32) (Stops at the release position). 5. Check the result of the IO Check in the step 2. For details of IO check results, refer to """"Table 1: Result check."""" Check the result of the IO Check in the step 3. For details of IO check results, refer to """"Table 1: Result check."""" Check the result of the IO Check in the step 4. For details of IO check results, refer to """"Table 2: Result check."""" When the results of the IO Check in the step 2, step 3, and step 4 are normal, M32 is not abnormal. Go on to the step 8. 6. Check the connector connection between EXCDB/2 and M32, CN4 of EXCDB/2, CN255 of M32, and the wiring. Then, repair it when there is any abnormality. 7. Check the connector connection between CDB and EXCDB/2, CN168 and CN169 of CDB, CN2 and CN3 of EXCDB/2, and the wiring. Then, repair it when there is any abnormality. 8. Check the coupling of the gear of M32. Then repair it when there is any abnormality. 9. Replace M32. 10. Replace EXCDB/2. 11. Replace CDB. Table 1: Result check Result check Normal Abnormal START 0 1 STOP Not care Not care Table 2: Result check Result check Normal Abnormal START 1 0 STOP Not care Not care",Control while detached,
C-0188,Main body: Registration roller pressure release motor drive circuit abnormality,An error detection signal is detected continuously for a specified period of time since the registration roller pressure release motor (M31) starts the initial operation.,when an alert occurs The main body and the option stop immediately.,• Registration roller pressure release motor (M31) • Conveyance expansion board/1 (EXCDB/1) • Conveyance drive board (CDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Prior check • Close the front door properly. (Check with the IO Check (25-20) of the front door sensor (PS31).) 2. Execute the IO Check (18-25) of the registration roller pressure release motor (M31) (Home position search). 3. Execute the IO Check (18-22) of the registration roller pressure release motor (M31) (Stops at the pressure position). 4. Execute the IO Check (18-23) of the registration roller pressure release motor (M31) (Stops at the release position). 5. Check the result of the IO Check in the step 2. For details of IO check results, refer to """"Table 1: Result check."""" Check the result of the IO Check in the step 3. For details of IO check results, refer to """"Table 1: Result check."""" Check the result of the IO Check in the step 4. For details of IO check results, refer to """"Table 2: Result check."""" When the results of the IO Check in the step 2, step 3, and step 4 are normal, M31 is not abnormal. Go on to the step 8. 6. Check the connector connection between EXCDB/1 and M31, CN5 of EXCDB/1, CN456 (relay connector), CN256 of M31, and the wiring. Then, repair it when there is any abnormality. 7. Check the connector connection between CDB and EXCDB/1, CN166 and CN167 of CDB, CN2 and CN3 of EXCDB/1, and the wiring. Then, repair it when there is any abnormality. 8. Check the coupling of the gear of M31. Then repair it when there is any abnormality. 9. Replace M31. 10. Replace EXCDB/1. 11. Replace CDB. Table 1: Result check Result check Normal Abnormal START 1 0 STOP Not care Not care Table 2: Result check Result check Normal Abnormal START 0 1 STOP Not care Not care",Control while detached,
C-0194,Main body: Conveyance sub software (D2) oscillation sequence abnormality,"While the machine is not printing, there is no response from the conveyance sub software (D2) to the conveyance oscillation command for a specified period of time, and the engine software judges it is a sequence abnormality.",when an alert occurs The main body and the option stop immediately.,• Centering sensor (PS1) • Conveyance drive board (CDB),Deactivate and activate the sub power switch (SW2) of the main body.,"- The message """"Please turn on power again"""" is displayed on the touch panel.","1. Prior check • On [Service Mode] → [Firmware Version] → [Firmware Version], make sure that the version of [Printer Sub CPU D2] is displayed. 2. Reinstall the printer sub CPU firmware (D2). 3. Check the connector connection between CDB and PS1, CN176 of CDB, CN467 (relay connector), CN479 (relay connector), CN423 of PS1, and the wiring. Then, repair it when there is any abnormality. 4. Replace PS1. 5. Replace CDB.",Control while detached,
C-0202,Main body: Paper feed tray abnormality,The upper limit sensor (PS43) does not become active within a specified period of time after the paper lift motor (M28) becomes active.,when an alert occurs The main body and the option stop immediately.,• Upper limit sensor (PS43) • Paper lift motor (M28) • Printer control board (PRCB),,"- The message """"Please call service"""" is displayed on the panel.","1. Prior check • Check that the paper feed tray is installed properly. 2. Execute the IO Check (19-01) of the paper lift motor (M28). 3. When the result of the IO Check in the step 2 is normal, PS43 and M28 are not abnormal. Go on to the step 6. For details of IO check results, refer to """"Table 1: Result check."""" 4. Check the connector connection between PRCB and PS43, CN127 of PRCB, CN375 (relay connector), CN373 (relay connector), CN342 of PS43, and the wiring. Then, repair it when there is any abnormality. 5. Check the connector connection between PRCB and M28, CN327 of M28, and the wiring. Then repair it when there is any abnormality. 6. Check the coupling of the gear of M28. Then repair it when there is any abnormality. 7. Replace PS43. 8. Replace M28. 9. Replace PRCB. Table 1: Result check Result check Normal Abnormal START Change 0→1 0 STOP Not care Not care",Control while detached,
C-0240,Main body: Registration swing motor abnormality,"After the initial operation of the registration swing motor (M39) starts, the initial operation is not completed within a specified period of time.",when an alert occurs The main body and the option stop immediately.,• Registration swing home sensor (PS20) • Registration swing motor (M39) • Conveyance drive board (CDB),,"- The message """"Please call service"""" is displayed on the panel.","1. Prior check • Close the front door properly. (Check with the IO Check (25-20) of the front door sensor (PS31).) 2. Execute the IO Check (17-00) of the registration swing motor (M39) (Home position search). 3. Execute the IO Check (17-05) of the registration swing motor (M39) (swings to the front side). 4. Execute the IO Check (17-06) of the registration swing motor (M39) (swings to the rear side). 5. Check the result of the IO Check in the step 2. For details of IO check results, refer to """"Table 1: Result check."""" Check the result of the IO Check in the step 3. For details of IO check results, refer to """"Table 2: Result check."""" Check the result of the IO Check in the step 4. For details of IO check results, refer to """"Table 1: Result check."""" When the results of the IO Check in the step 2, step 3, and step 4 are normal, PS20, M39, and the wiring are not abnormal. Go on to the step 8. 6. Check the connector connection between CDB and PS20, CN173 of CDB, CN429 of PS20, and the wiring. Then, repair it when there is any abnormality. 7. Check the connector connection between CDB and M39, CN180 of CDB, CN449 of M39, and the wiring. Then, repair it when there is any abnormality. 8. Check the coupling of the gear of M39. Then repair it when there is any abnormality. 9. Replace PS20. 10. Replace M39. 11. Replace CDB. Table 1: Result check Result check Normal Abnormal START 1 0 STOP Not care Not care Table 2: Result check Result check Normal Abnormal START 0 1 STOP Not care Not care",Control while detached,
